fid,GRID_CODE,DATA_INCEN,CODI_FINAL,MUNICIPI,XMIN,XMAX,YMIN,YMAX,ANY,AREA
"646","2",07/07/94,"4394150",Vandellós i l'Hospitalet de l'Infant,0.88276175394,0.88958419254,40.9721028754,40.9767,"1994",0.132500407804379
"647","2",01/07/03,"2003250060",Ossó de Sió,1.15718879794,1.28566121996,41.7469974129,41.7884,"2003",13.7544178303881
"648","2",19/06/05,"2005080191",La Palma de Cervelló,1.95891736988,1.96667527716,41.408291331,41.4113,"2005",0.0831252538802339
"649","2",17/07/94,"4394162",Margalef,0.76016903459,0.83654037768,41.2893473558,41.3525,"1994",17.7048545140606
"650","2",12/06/98,"1998430180",Mont-Ral,1.10848594225,1.11885116362,41.2784132191,41.2848,"1998",0.400626238361796
"651","2",01/07/01,"2001080165",Vallbona d'Anoia,1.7115259581,1.72024655491,41.5184484105,41.5392,"2001",0.521876622744066
"652","2",06/11/99,"1999430122",Benifallet,0.4922670541,0.50328088991,40.9413909547,40.9514,"1999",0.435001339150846
"653","2",04/02/12,"2012430139",L'ALBIOL,1.1054128821,1.12824076021,41.2464862629,41.2536,"2012",0.702502151279684
"654","2",04/07/07,"2007430033",Ulldecona,0.40790789965,0.41599020015,40.6102983883,40.6185,"2007",0.211236619760111
"655","2",17/07/94,"4394163",Alcover,1.15640656662,1.19652832689,41.2959265935,41.3165,"1994",3.7863118330525
"656","2",29/05/01,"2001080092",Castelldefels,1.95591871655,1.96785900014,41.282310733,41.2929,"2001",0.525001634718676
"657","2",22/07/05,"2005250132",Bassella,1.29495318712,1.30098817018,42.0013509474,42.0048,"2005",0.0912502849429991
"658","2",22/08/17,"2017080195",Navarcles,1.91730127763,1.92136036678,41.7519802625,41.758,"2017",0.121999854557846
"659","2",13/08/94,"4394194",La Pobla de Montornès,1.40757475064,1.42041778974,41.1956319851,41.2103,"1994",0.934202897756076
"660","2",26/09/04,"2004170080",Torroella de Montgrí,3.10108169303,3.14396938829,42.0456977196,42.0772,"2004",6.05474351829988
"661","2",22/06/98,"1998080113",Gaià,1.91465014924,1.92351487546,41.908856814,41.9219,"1998",0.333901037268394
"662","2",11/08/94,"894496",Sant Cugat del Vallès,2.06959193504,2.10276091461,41.43170855,41.4432,"1994",1.09530342906536
"663","2",23/08/94,"894538",Prats de Lluçanès,2.01249424312,2.04198814702,41.9774231071,41.9992,"1994",2.31660707713927
"664","2",22/06/98,"1998080112",Gaià,1.90059154871,1.91412372377,41.9044140931,41.9283,"1998",1.46430454311687
"665","2",09/10/90,B90040022,MONTCADA I REIXAC,2.1951410783,2.20027560358,41.4779066313,41.4826,"1990",0.0806249999997848
"666","2",18/07/16,"2016080155",Sant Feliu Sasserra,2.00887084061,2.02555114668,41.9217988817,41.9363,"2016",0.893519823879029
"667","2",20/07/94,"894287",Torrelles de Foix,1.5647287938,1.58213707949,41.4261573531,41.4451,"1994",1.58850492129521
"668","2",10/04/94,"894066",Sant Feliu de Llobregat,2.04407742415,2.05306568243,41.4019893028,41.4096,"1994",0.363751115844803
"669","2",18/07/17,"2017080128",Teià ,2.3070102183,2.31514921338,41.5067234177,41.5132,"2017",0.158680525650426
"670","2",04/06/15,"2015170074",Caldes de Malavella,2.76304713258,2.76786931457,41.8315463014,41.8372,"2015",0.102500000000122
"671","2",02/07/09,"2009250095",Oliola,1.12483025738,1.14680100065,41.851580406,41.8688,"2009",1.11672845547969
"672","2",21/04/15,"2015250083",Bossòst,0.67252546499,0.69586244312,42.7893525409,42.8009,"2015",0.749374999999482
"673","2",22/12/01,"2001250083",Espot,1.12014618688,1.12777824381,42.574420795,42.5781,"2001",0.12125036194477
"674","2",22/02/99,"1999430036",Valls,1.19302196365,1.22687125027,41.312145724,41.3338,"1999",2.62875815103238
"675","2",07/03/05,"2005080047",Viladecans,2.05460182559,2.05943627626,41.2810192522,41.2873,"2005",0.114375357006771
"676","2",25/06/94,"4394127",Prat de Comte,0.42845097071,0.43464187492,40.9806363077,40.9844,"1994",0.0837502582408668
"677","2",10/10/97,"1997430093",El Montmell,1.49820334123,1.51834228829,41.3216961349,41.3433,"1997",1.81585567633422
"678","2",18/07/05,"2005080298",Castellnou de Bages,1.83221769827,1.8812484384,41.8265948793,41.8691,"2005",8.25002585101829
"679","2",22/08/94,"894398",Sant Llorenç Savall,2.03215101693,2.04697308834,41.6811633521,41.6933,"1994",0.934202911405514
"680","2",22/07/02,"2002080141",Montcada i Reixach,2.20287069037,2.20978531826,41.4815579443,41.4885,"2002",0.175625545385453
"681","2",08/07/1993,"930800153",Mediona,1.63971509437,1.64270934997,41.4882148402,41.4948,"1993",0.109375335475387
"682","2",27/08/95,"4395185",Benifallet,0.56469703969,0.68005402403,40.8807837258,40.9722,"1995",48.1861488790788
"683","2",19/03/98,"1998250043",Farrera,1.27868191371,1.28657784999,42.5047757787,42.5095,"1998",0.198750622886741
"684","2",29/08/10,"2010080167",Olivella,1.77811129036,1.78606010286,41.2998357151,41.3158,"2010",0.641876991100971
"685","2",02/09/88,B0880184,Cubelles,1.6640244549,1.68451715866,41.2316514133,41.2521,"1988",1.71990531047785
"686","2",13/06/93,"934300059",El Vendrell,1.46996314892,1.50102144248,41.2053167538,41.2272,"1993",3.61711113740671
"687","2",15/06/17,"2017080061",Cardedeu,2.36629583368,2.37099142667,41.6427068002,41.6463,"2017",0.0769960220438361
"688","2",31/08/91,L91018012,Juncosa,0.73631547934,0.75278884124,41.3578097265,41.3689,"1991",0.437401369451718
"689","2",05/08/03,"2003430055",Alcover,1.16201655274,1.17918834321,41.2782530673,41.3065,"2003",2.32500730075221
"690","2",26/01/14,"2014080187",Tiana,2.27515063461,2.27882039685,41.4931821537,41.4977,"2014",0.0964771760305871
"691","2",03/08/06,"2006170136",Sant Climent Sescebes,2.96977553333,2.9961968702,42.3580403527,42.3947,"2006",2.82438370390701
"692","2",05/08/91,B91007026,Manresa,1.86324555037,1.86880743592,41.700330311,41.7104,"1991",0.196875612397832
"693","2",06/07/86,"438600283",L'Argentera,0.86030207076,0.91059203159,41.1124564077,41.1656,"1986",11.0304334467623
"694","2",15/08/86,"178600103",Bescanó,2.70600172176,2.72172956108,41.9347486782,41.9476,"1986",0.602501875786413
"695","2",02/09/86,"438600316",Horta de Sant Joan,0.36398487509,0.38515193234,40.9476356799,40.9758,"1986",1.87920586016303
"696","2",27/01/08,"2008250043",Bausen,0.68273729279,0.70949151364,42.8361050757,42.8476,"2008",1.59000501603232
"697","2",12/06/98,"1998430064",Benifallet,0.50851376492,0.56615599074,40.9359176208,40.9635,"1998",5.03121564510177
"698","2",25/01/03,"2003170003",Colera,3.14674468858,3.16436875544,42.3954497338,42.4029,"2003",0.321875989994548
"699","2",24/08/15,"2015430117",l'Ametlla de Mar,0.82620990171,0.84205590462,40.9324919981,40.9408,"2015",0.451402412714219
"700","2",15/02/00,"2000430055",La Fatarella,0.53633131322,0.55203382059,41.1013623422,41.1091,"2000",0.604376898786414
"701","2",14/06/18,"2018170013",Llançà ,3.12301399962002,3.12732200011532,42.3491510001734,42.3521449995821,"2018",0.0749520597741132
"702","2",01/07/18,92/18N,Cervera,1.23602625065396,1.24529596648958,41.6672426465131,41.6690665483072,"2018",0.0844624888413735
"703","2",04/07/18,"2018250030",Massoteres,1.32171210785903,1.3276183332477,41.8239212039215,41.8281537303649,"2018",0.0734653862119297
"704","2",04/07/18,"2018170028",Vilopriu,2.99420305042769,3.0009921896276,42.1086299503858,42.1180921910915,"2018",0.208534511074126
"705","2",22/03/18,"2018170005",Llers,2.90915099943871,2.91226200045118,42.3045950004483,42.3094869997258,"2018",0.0620687757943837
"706","2",25/06/18,"2018250026",Torrefeta i Florejacs,1.23113390179384,1.23515185038255,41.7159569266022,41.719556451613,"2018",0.0816342475090129
"707","2",20/06/18,"67/18N
",Sant Martí de Riucorb,1.00293322451111,1.01290783123881,41.5792050796348,41.5862021953112,"2018",0.274489441350237
